año,pbi_usd,pbi_en _mm
1999,398792535409,398793
2000,395646066536,395646
2001,378202665752,378203
2002,336999433710,336999
2003,366780211149,366780
2004,399898899167,399899
2005,435296589745,435297
2006,470325565798,470326
2007,512690850742,512691
2008,533491913656,533492
2009,501917060966,501917
2010,552738161802,552738
2011,585924294025,585924
2012,579910247223,579910
2013,593858966307,593859
2014,578937574936,578938
2015,594749285413,594749
2016,582376550428,582377
2017,598790850844,598791
2018,583118120294,583118
2019,571450737224,571451
2020,514874343768,514874
2021,570058627079,570059
2022,598312841627,598313
2023,589035991826,589036